NULL,1E Client 8.0 (English),Installs: 1E Client_8.0_L_EN_01,No,0.0,Yes,No
NULL,Adobe CC DesignTools 2020 (English),<p>Installs: Adobe CC DesignTools_2020_L_EN_01</p> <p>LS: Global(Unlimited)</p> <p>&nbsp;</p>,No,0.0,Yes,No
NULL,Adobe Connect Subscription,"<span style=""font-size: 13px;""></span> <p><strong>Adobe Connect web conferencing software service offers immersive online meeting experiences for collaboration, virtual classrooms and large scale webinars. 　</strong>　</p> <p>Alcon made the strategic decision in 2019 to use WebEx and not Adobe Connect. (marca)</p> <p><span style=""font-family: Times New Roman;""></span><span style=""font-family: Segoe UI; font-size: 13px;""> </span></p> <span style=""font-family: Segoe UI; font-size: 13px;""> </span><span style=""color: #6e6e73; font-family: Segoe UI; font-size: 10px;""></span> <p> </p> <span style=""font-family: Calibri; font-size: 13px;""></span>",Yes,750,No,No
NULL,ads,,No,0.0,Yes,No
NULL,Airwatch_Test,,No,0.0,Yes,No
NULL,Alcon AGPS Verion Vision Planner 5.0 (ENGLISH),Install: Alcon AGPS Verion Vision Planner_5.0_L_EN_01,No,0.0,Yes,No
NULL,Alcon ForeSight Connect(x64) 1.0.6 (English),Installs: Alcon ForeSight Connect(x64)_1.0.6_T_EN_01,No,0.0,Yes,No
NULL,Alcon Freda 3.0 (Eng),Alcon Freda_3.0_L_EN_04,No,0.0,Yes,No
NULL,Alcon Remove McAfee Dummy ARP 1.0 (English) [Build 03],Installs:&nbsp;Alcon Remove McAfee Dummy ARP_1.0_L_EN_03,No,0.0,Yes,No
NULL,Box Account,Catalog for creating box account,No,0.0,Yes,No
NULL,Centurion US Mobile,,No,0.0,Yes,No
NULL,Corporate IT_TIS / EUX_PLAL_IT_Windows 10,Installs:<br /> Alcon Google Chrome_96.0_L_EN_01<br /> Alcon TechSmith SnagIt 2020_20.0.3_L_EN_01<br /> SAPGUI 7.60_L_EN_01,No,0.0,Yes,Yes
NULL,Cytel East Base With EES_6.5.0 (English),Installs: Cytel East Base With EES_6.5.0_L_EN_01,No,0.0,Yes,No
NULL,eDrawings Viewer 2014 (English),"<table width=""269"" style=""width: 202pt; border-collapse: collapse;"" border=""0"" cellspacing=""0"" cellpadding=""0"">     <span style=""font-family: Times New Roman;"">     </span><colgroup><col width=""269"" style=""width: 202pt; mso-width-source: userset; mso-width-alt: 9837;"" /><span style=""font-family: Times New Roman;"">     </span></colgroup>     <tbody>         <tr height=""17"" style=""height: 12.75pt;"">             <span style=""font-family: Times New Roman;"">             </span>             <td style=""border: 0.5pt solid windowtext; width: 202pt; height: 12.75pt; background-color: transparent;""></td>             <span style=""font-family: Times New Roman;"">             </span>         </tr>         <span style=""font-family: Times New Roman;"">         </span>     </tbody> </table>",No,0.0,Yes,No
NULL,Essbase Test,,No,0.0,Yes,No
NULL,FileZilla 3.44.2 win64 (English),<p>Installs: Tim Kosse FileZilla Client(x64)_3.44.2_L_EN_01</p> <p>FileZilla is open source FTP client.</p> <p>LS: Global(Unlimited)</p> <p>&nbsp;</p>,No,0.0,Yes,No
NULL,Headset,Chat and listen in comfort. Enjoy clear calls and rich stereo sound from this all-purpose headset with an adjustable padded headband and in-line audio controls.,No,0.0,Yes,No
NULL,IngBuero TARGET 3001!V31 economy 31 (English),Installs: IngBuero TARGET 3001!V31 economy_31_L_EN_01,No,0.0,Yes,No
NULL,Logitech Options(x64) 8.36.86 (English),,No,0.0,Yes,No
NULL,Mendeley Desktop 1.194 (English),Install: Mendeley Desktop_1.194_L_EN_01,No,0.0,Yes,No
NULL,Mendeley Desktop 1.194 (English),Installs: Mendeley Desktop_1.194_L_EN_01,No,0.0,Yes,No
NULL,Microsoft Silverlight,"Microsoft Silverlight is a free web-browser plug-in that enables interactive media experiences, rich business applications and immersive mobile apps.",No,0.0,Yes,No
NULL,Microsoft Visio 2012,"Visio provides advanced diagramming tools to help you simplify complexity with intuitive and professional-looking diagrams, dynamic and data-driven visuals, and new ways to share via a browser in real time.",No,0.0,Yes,No
NULL,MIcrosoft Visual Studio Code (64) 1.55.2 (English),Microsoft Visual Studio code(x64)_1.55.2_L_EN_01,No,0.0,Yes,No
NULL,MS VLSC Request,"<p>MS VLSC Request Process Form<span style=""font-family: Segoe UI; font-size: 13px;""> </span></p>",Yes,0.0,Yes,Yes
NULL,MY Test Group,,No,0.0,Yes,No
NULL,Node.js(x64) 14.15.4 (English),Installs: Node.js(x64)_14.15.4_L_EN_01,No,0.0,Yes,No
NULL,Non-Catalog Item,Add this item to your cart to request a software or hardware asset that is not listed in the App Portal Catalog.,No,0.0,Yes,No
NULL,Office 365 Account,Catalog for creating Office 365 account,No,0.0,Yes,No
NULL,Office Timeline Plus 2013 (English),<p>Office Timeline is the only timeline maker built for Knowledge Workers that integrates with PowerPoint to deliver stunning presentations</p> <p>LS:&nbsp; Global&nbsp;(Limited)</p>,Yes,59,No,No
NULL,Proof of purchase,,No,0.0,Yes,No
NULL,Record Delete,,No,0.0,Yes,No
NULL,Salesforce Account,Catalog for creating Salesforce account,No,0.0,Yes,No
NULL,SAPGUI(X64)_7.50_L_EN_04 Uninstall,,No,0.0,Yes,No
NULL,SCCM Self Service History Deletion,"<p>This deletes the SCCM Self Service History for a computer (All options under My Computer).<br /> <br /> This should be used only to delete the history of a machine to allow for restaging or resusing an existing machine name.<br /> <br /> This request is <strong><span style=""font-size: 13px;"">immediate</span></strong> - you can not go back once selected. Please be careful in using this option.</p> <p>&nbsp;</p> <p>LS: In House</p>",Yes,0.0,Yes,No
NULL,Template Object (Alcon_Default),Default Template for Alcon Objects,No,0.0,Yes,No
NULL,Test,,No,0.0,Yes,No
NULL,Test_General,,No,0.0,Yes,No
NULL,TEST_Group_Zapp,<p>This is for Testing of Zscaler app behavior in Group Catalog. Please don't shop it.</p>,No,0.0,Yes,Yes
NULL,Test_Package,,No,0.0,Yes,Yes
NULL,test_Ravi,,No,0.0,Yes,No
NULL,TIS / EUX_Alcon Russia Standard apps,"<p>Installs: </p> <p><span style=""text-transform: none; text-indent: 0px; letter-spacing: normal; font-size: 11px; font-style: normal; font-weight: 400; word-spacing: 0px; float: none; white-space: normal; orphans: 2; widows: 2; background-color: #ffffff; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; font-family: metropolisregular; color: #222222;"">7-Zip_18.05_L_EN_01</span></p>",No,0.0,Yes,Yes
NULL,TIS / EUX_AUMT Standard Build,Installs:<br /> Adobe Acrobat Std_DC_L_EN_99_08<br /> Alcon Cisco Jabber_12.7.1.51081_L_EN_01<br /> ENTRUST ESP(x64)_9.3_L_EN_99_01<br /> Fix for ENTRUST ESP(x64)_9.3_L_EN_99_01<br /> Cisco WebEx Meetings_40.1.8.5_L_EN_01<br /> Cisco Webex Support Manager_40.1.8.5_L_EN_01<br /> Google Chrome_1.0_L_EN_99_28<br /> Microsoft OneDrive PolicySet_1.0_L_EN_99_02<br /> Microsoft OneDrive_L_EN_99_01<br /> Cisco Webex Teams(x64)_3.0.10626_L_EN_01<br /> SnagIt_18.0.2_L_EN_01<br /> VLC Media Player_3.0.7_V_EN_01<br /> Alcon DigiCert PKI Client_2.17.9.20106_L_EN_01,No,0.0,Yes,Yes
NULL,TIS / EUX_BEAP_addons,"<p>&nbsp;</p> <p>Installs:</p> <p><span style=""font-family: metropolisregular; color: #222222;"">IBM I Access Client for Basic(x64)_1.1_L_EN_02</span></p> <p><span style=""background-color: #fafafb; font-family: metropolisregular; color: #222222;"">SAPGUI 7.60_L_EN_01</span></p> <p><span style=""font-family: metropolisregular; color: #222222;"">Lansweeper Agent_9.5_L_EN_01</span></p>",No,0.0,Yes,Yes
